Date,Time,Start,High,Low,End,Volume
20200131,0,57800,58400,56400,56400,19749457
20200130,0,58800,58800,56800,57200,20821939
20200129,0,59100,59700,58800,59100,16446102
20200128,0,59400,59400,58300,58800,23664541
20200123,0,61800,61800,60700,60800,14916555
20200122,0,60500,62600,60400,62300,15339565
20200121,0,62000,62400,61200,61400,11142693
20200120,0,62000,62800,61700,62400,12528855
20200117,0,61900,62000,61000,61300,16025661
20200116,0,59100,60700,59000,60700,14381774
20200115,0,59500,59600,58900,59000,14300928
20200114,0,60400,61000,59900,60000,16906295
20200113,0,59600,60000,59100,60000,11359139
20200110,0,58800,59700,58300,59500,16000170
20200109,0,58400,58600,57400,58600,24102579
20200108,0,56200,57400,55900,56800,23501171
20200107,0,55700,56400,55600,55800,10009778
20200106,0,54900,55600,54600,55500,10278951
20200103,0,56000,56600,54900,55500,15422255
20200102,0,55500,56000,55000,55200,12993228
20191230,0,56200,56600,55700,55800,8356767
20191227,0,55700,56900,55500,56500,12313056
20191226,0,54700,55400,54400,55400,9645034
20191224,0,55600,55700,54800,55000,11868463
20191223,0,56100,56400,55100,55500,9839252
20191220,0,56100,56500,55600,56000,12095519
20191219,0,57000,57300,55500,56000,14180520
20191218,0,56700,57200,56000,56300,15558208
20191217,0,55800,56700,55400,56700,19358433
20191216,0,54500,54900,54300,54700,11512405
20191213,0,54500,54800,53900,54700,18120261
20191212,0,53000,53300,52700,53300,29178697
20191211,0,51500,52200,51400,51900,11379521
20191210,0,51000,51600,50700,51500,6882771
20191209,0,50900,51400,50700,51200,8470627
20191206,0,50100,50900,49950,50400,11414563
20191205,0,50200,50400,49500,49500,10449715
20191204,0,49600,49850,49000,49450,13246549
20191203,0,49800,50300,49500,49900,12059812
20191202,0,50900,51300,50400,50400,18877252
20191129,0,51200,51400,50200,50300,11179334
20191128,0,51900,52100,51300,51300,6833885
20191127,0,51800,52300,51600,52200,7546261
20191126,0,51900,52900,51800,51800,27372226
20191125,0,52200,52600,51700,51800,9050625
20191122,0,51000,51600,50900,51600,8478310
20191121,0,51600,52100,50600,51000,14298646
20191120,0,53400,53400,52000,52000,12560070
20191119,0,53200,53500,52700,53500,8907177
20191118,0,53600,53800,53200,53500,7746554
20191115,0,52900,53700,52600,53700,9703360
20191114,0,51900,52800,51900,52800,12010018
20191113,0,52500,52500,52000,52500,6225196
20191112,0,51800,52600,51600,52600,6576148
20191111,0,52200,52200,51400,51600,8185952
20191108,0,53200,53300,52000,52100,11603290
20191107,0,53400,53400,52400,52900,9257116
20191106,0,52900,53500,52700,53300,14361133
20191105,0,52400,52700,52100,52700,10581034
20191104,0,51700,52300,51400,52300,13012411
20191101,0,50600,51200,50400,51200,8467846
20191031,0,51000,51400,50300,50400,10304777
20191030,0,50700,50800,50200,50400,8959435
20191029,0,51400,51700,50800,51100,7581629
20191028,0,50700,51500,50700,51300,6431522
20191025,0,50800,51200,50500,50900,7879897
20191024,0,52500,52500,50500,50700,21185785
20191023,0,51300,51500,50800,51200,8663880
20191022,0,50800,51500,50700,51200,10898729
20191021,0,49900,50400,49800,50300,4406531
20191018,0,50300,50900,49650,49900,8483106
20191017,0,50500,50600,50100,50500,6701380
20191016,0,50700,50900,50400,50700,9136282
20191015,0,49900,50200,49900,50100,6058105
20191014,0,50000,50300,49850,50000,11130635
20191011,0,49000,49450,48800,49150,7783275
20191010,0,48200,49200,48000,48550,18639855
20191008,0,47900,49000,47600,48900,14239367
20191007,0,48350,48700,47650,47750,7047273
20191004,0,47400,48650,47350,48000,9331695
20191002,0,48350,48400,47600,47600,8382463
20191001,0,48900,49100,48650,48850,6206035
20190930,0,48050,49250,47900,49050,9497119
20190927,0,48000,48700,48000,48400,8048041
20190926,0,49000,49250,48900,49200,8494756
20190925,0,49200,49350,48800,48900,9187141
20190924,0,49050,49650,48850,49500,7871955
20190923,0,49250,49300,49000,49300,7568553
20190920,0,49400,49600,49100,49200,15460210
20190919,0,48050,49200,47850,49150,16461413
20190918,0,46900,47700,46800,47700,10413027
20190917,0,47000,47100,46800,46900,7006280
20190916,0,47000,47100,46400,47100,15550926
20190911,0,47300,47400,46800,47150,16141619
20190910,0,47100,47200,46550,47000,9231792
20190909,0,46450,47000,46300,46900,9434157
20190906,0,46500,46500,45850,46300,9896562
20190905,0,44800,46100,44450,45700,18297430
20190904,0,43250,44100,43150,44100,12441837
20190903,0,43550,43650,43100,43250,9774941
20190902,0,44850,44850,43650,43800,7185537
20190830,0,43750,44300,43750,44000,9899073
20190829,0,44200,44200,43050,43400,10768862
20190828,0,44100,44400,43750,44150,5758333
20190827,0,43650,44200,43600,44050,16883932
20190826,0,43050,43800,42950,43600,7954949
20190823,0,43800,44200,43650,43950,5017381
20190822,0,44500,44700,43850,44050,8061177
20190821,0,44350,44800,44150,44500,6571717
20190820,0,43950,44600,43550,44450,8434205
20190819,0,44350,44350,43500,43600,6014218
20190816,0,43800,43900,43300,43900,9528115
20190814,0,43900,44250,43500,43700,8750135
20190813,0,43500,43500,42950,43000,7276979
20190812,0,44000,44000,43550,43700,8466169
20190809,0,43250,43350,43050,43150,9685147
20190808,0,43250,43500,42650,42650,16926881
20190807,0,43600,43900,43100,43200,10002533
20190806,0,42500,43800,42500,43500,15083824
20190805,0,44350,44600,43600,43950,14214086
20190802,0,44550,45500,44300,44950,12151374
20190801,0,44900,45500,44850,45200,7811181
20190731,0,46200,46600,45000,45350,12872916
20190730,0,46300,46850,46300,46550,5551014
20190729,0,46800,47050,46000,46100,6856846
20190726,0,46650,47150,46550,47150,7873886
20190725,0,47150,47200,46600,47200,8408838
20190724,0,47100,47150,46250,46400,8756522
20190723,0,47350,47550,47050,47300,9061381
20190722,0,46800,47300,46600,47200,9009109
20190719,0,46650,46950,46600,46800,8819393
20190718,0,46450,46450,45650,46100,5143554
20190717,0,46150,46350,45950,46050,5216602
20190716,0,46450,46850,46300,46850,7407824
20190715,0,45950,46650,45750,46450,4717226
20190712,0,46350,46400,45800,46300,5245804
20190711,0,46350,46550,46150,46200,10989751
20190710,0,45550,46150,45500,45550,9253930
20190709,0,44850,45450,44700,45100,7646421
20190708,0,44750,44800,44350,44400,7823843
20190705,0,45950,45950,45250,45650,7235395
20190704,0,45250,46200,45250,46000,6365573
20190703,0,45750,46350,45200,45400,9669368
20190702,0,46200,46900,45850,46250,8463073
20190701,0,47350,47400,46250,46600,11383522
20190628,0,47000,47000,46700,47000,12949231
20190627,0,46000,46600,45750,46500,12603534
20190626,0,45800,46000,45600,45700,9226097
20190625,0,45200,45800,45200,45600,7076774
20190624,0,45200,45800,45200,45500,6085066
20190621,0,45750,45800,45200,45700,9454913
20190620,0,44850,45500,44850,45500,7147785
20190619,0,45450,45450,45000,45350,10417690
20190618,0,43750,44500,43650,44350,7994928
20190617,0,43750,44050,43400,43900,11890424
20190614,0,43750,44150,43300,44000,9322873
20190613,0,44200,44400,43400,43750,16906541
20190612,0,44800,45050,44300,44600,8607439
20190611,0,44800,45000,44550,44850,6664872
20190610,0,44300,44850,44050,44800,8792182
20190607,0,43600,44350,43450,44200,11683682
20190605,0,44050,44200,43700,43900,12464135
20190604,0,43400,43700,43000,43450,9913497
20190603,0,42950,43900,42500,43800,15466580
20190531,0,42600,42800,42150,42500,11365999
20190530,0,42200,42700,42150,42550,11766018
20190529,0,41850,42100,41300,41800,14930618
20190528,0,42550,42950,42150,42550,24506881
20190527,0,42500,43000,42350,42650,8066669
20190524,0,43800,43800,42400,42700,13966305
20190523,0,43900,44000,43250,43850,12259006
20190522,0,43700,43800,42400,43500,11033339
20190521,0,42600,43950,42350,43150,18812133
20190520,0,41650,42100,41550,42000,15752397
20190517,0,41950,42050,40850,41200,13357951
20190516,0,42350,42400,41350,41550,13687828
20190515,0,42700,43050,42550,42550,7670185
20190514,0,41300,43100,41300,42650,11563730
20190513,0,42500,43200,42350,42650,7635079
20190510,0,42600,43450,42450,42900,14579512
20190509,0,43900,44250,42450,42450,23029718
20190508,0,44300,44850,44200,44250,10398754
20190507,0,45250,45300,44400,44850,12014907
20190503,0,45900,46050,45300,45300,6562916
20190502,0,45500,46150,45400,45900,8625126
20190430,0,46000,46300,45350,45850,11121273
20190429,0,45150,46150,45100,46150,8777517
20190426,0,44200,45000,43800,44850,9739982
20190425,0,44250,45000,44100,44650,10868965
20190424,0,45400,45650,44150,44750,13299267
20190423,0,45050,45500,45000,45200,6920566
20190422,0,45400,45900,45100,45350,6006957
20190419,0,45750,46000,45250,45300,8479710
20190418,0,47200,47250,45500,45600,12808747
20190417,0,47300,47600,47000,47050,5513658
20190416,0,47400,47400,46800,47250,7730881
20190415,0,47150,47500,47000,47050,8733019
20190412,0,46050,46900,46000,46850,7668936
20190411,0,46700,46800,46150,46250,13697399
20190410,0,46400,46700,46050,46700,11883995
20190409,0,46700,46950,46200,46650,6878761
20190408,0,47250,47250,46150,46650,8507909
20190405,0,46950,47550,46600,46850,8546339
20190404,0,46150,47100,46150,46950,12650168
20190403,0,46750,46750,45800,46600,12436570
20190402,0,45550,46100,45350,45750,9480688
20190401,0,45200,45450,44850,45050,7362129
20190329,0,44500,44900,44200,44650,11491713
20190328,0,44950,45200,44300,44850,6821306
20190327,0,44750,45600,44250,45350,9568081
20190326,0,45500,45700,44900,45250,9729811
20190325,0,45300,45650,44800,45500,8699728
20190322,0,46850,47000,46250,46550,12535911
20190321,0,44600,46250,44050,45850,21138016
20190320,0,43800,44200,43100,44050,9846242
20190319,0,43750,43900,43550,43900,7609563
20190318,0,43950,44150,43450,43700,8188876
20190315,0,43800,44250,43700,44200,16814163
20190314,0,43700,44300,43550,43850,18039161
20190313,0,44250,44450,43700,43850,8108343
20190312,0,44300,44950,44150,44650,11431977
20190311,0,44400,44450,43650,43650,10717408
20190308,0,44450,44800,43800,43800,7729069
20190307,0,43400,44950,43400,44450,11049749
20190306,0,44000,44300,43700,44000,10202544
20190305,0,44600,45100,44150,44250,10612405
20190304,0,46000,46100,44800,44850,12926539
20190228,0,46400,46500,45100,45100,23569321
20190227,0,47000,47250,46750,46750,8045211
20190226,0,47350,47450,46500,46750,7985547
20190225,0,47400,47550,47050,47350,7484716
20190222,0,46500,47150,46450,47150,6895772
20190221,0,46500,47200,46200,46950,8694009
20190220,0,46750,47100,46500,46900,11506720
20190219,0,45850,46150,45450,45950,6741395
20190218,0,46500,46850,45850,46200,8183728
20190215,0,46750,46850,45650,46050,10554643
20190214,0,46600,47500,46150,47500,17259341
20190213,0,46400,46700,46000,46200,11299738
20190212,0,44650,46250,44650,46050,13184367
20190211,0,44500,45000,44250,45000,11125044
20190208,0,45700,45700,44650,44800,12689196
20190207,0,46800,47100,46200,46200,15872001
20190201,0,46650,46950,46250,46350,13832454
20190131,0,46650,47050,46150,46150,21621145
20190130,0,44800,46400,44800,46400,17505980
20190129,0,45050,45500,44350,45500,16215017
20190128,0,45000,45500,44600,45050,17998914
20190125,0,44300,44750,43750,44750,22789395
20190124,0,43050,43100,42350,43050,14747623
20190123,0,41350,42250,41350,42000,11071079
20190122,0,42750,42850,41850,42150,9964356
20190121,0,42700,42750,41900,42750,11355701
20190118,0,42000,42400,41950,42300,11029256
20190117,0,41700,42100,41450,41950,11736903
20190116,0,41150,41450,40700,41450,8491595
20190115,0,40050,41100,39850,41100,11492756
20190114,0,40450,40700,39850,40050,11984996
20190111,0,40350,40550,39950,40500,11661063
20190110,0,40000,40150,39600,39800,14731699
20190109,0,38650,39600,38300,39600,17452708
20190108,0,38000,39200,37950,38100,12756554
20190107,0,38000,38900,37800,38750,12748997
20190104,0,37450,37600,36850,37450,14108958
20190103,0,38300,38550,37450,37600,12471493
20190102,0,39400,39400,38550,38750,7847664
